=== POLICY BENCHMARK ===
mode=quick iterations=3
capacity=1000 universe=10000 ops=100000 kpp=32


VERIFY ARC:      34964 hits, 65036 misses, 63036 evictions
VERIFY ARC-FLAT: 34964 hits, 65036 misses, 63036 evictions
VERIFY ARC-FLATLL: 34964 hits, 65036 misses, 63036 evictions
VERIFY ARC-FLATLL2: 34964 hits, 65036 misses, 63036 evictions
VERIFY HYBRID: 33151 hits, 66849 misses, 64849 evictions
VERIFY HYBRID-POS: 35035 hits, 64965 misses, 62965 evictions
VERIFY HYBRID-FB: 33151 hits, 66849 misses, 64849 evictions
MATCH: All ARC variants produce identical hit/miss counts.
VERIFY AUG-TS: 33386 hits, 66614 misses, 64614 evictions
VERIFY AUG-PRED: 33398 hits, 66602 misses, 64602 evictions
VERIFY AUG-GS: 25044 hits, 74956 misses, 73927 evictions
VERIFY AUG-CB: 24954 hits, 75046 misses, 74027 evictions
--- Zipfian (theta=0.99) ---
Policy               | Hit%(avg±sd) |    Hits |  Misses | Evicts |  Scan |  Ops/s(avg±sd) | Evict/M(avg±sd)
--------------------------------------------------------------------------------------------------------------
LRU                  |  24.77±0.00 |   24772 |   75228 |  74228 |     0 | 9798625.5±749407.9 |   0.99± 0.00
ARC                  |  34.96±0.00 |   34964 |   65036 |  63036 |     0 | 4940571.2±214783.5 |   0.97± 0.00
ARC-FLAT             |  34.96±0.00 |   34964 |   65036 |  63036 |     0 | 993196.3±7665.3 |   0.97± 0.00
ARC-FLATLL           |  34.96±0.00 |   34964 |   65036 |  63036 |     0 | 5162689.5±441990.2 |   0.97± 0.00
ARC-FLATLL2          |  34.96±0.00 |   34964 |   65036 |  63036 |     0 | 9506745.0±126860.6 |   0.97± 0.00
HYBRID               |  33.15±0.00 |   33151 |   66849 |  64849 |     0 | 647353.3±4109.4 |   0.97± 0.00
HYBRID-POS           |  35.03±0.00 |   35035 |   64965 |  62965 |     0 | 462679.2±3652.1 |   0.97± 0.00
HYBRID-FB            |  33.15±0.00 |   33151 |   66849 |  64849 |     0 | 625270.8±4178.8 |   0.97± 0.00
REMARC               |  24.74±0.00 |   24739 |   75261 |  74240 |  2320 | 3876892.2±136470.7 |   0.99± 0.00
REMARC-OPT           |  24.63±0.00 |   24628 |   75372 |  74368 |  9296 | 7748450.3±152692.1 |   0.99± 0.00
REMARC-LazyInc       |  24.73±0.00 |   24733 |   75267 |  74272 | 18568 | 3845839.4±222421.6 |   0.99± 0.00
REMARC-S3            |  24.55±0.00 |   24548 |   75452 |  64448 |  8056 | 4486398.0±254982.9 |   0.85± 0.00
REMARC-LFU           |  24.63±0.00 |   24628 |   75372 |  74368 |  9296 | 7649320.7±195940.5 |   0.99± 0.00
REMARC-TinyLFU       |  24.53±0.00 |   24529 |   75471 |  73792 |  9224 | 7313966.0±110840.1 |   0.98± 0.00
REMARC-GhostField    |  24.63±0.00 |   24628 |   75372 |  74368 |  9296 | 1065027.3±19353.5 |   0.99± 0.00
REMARC-GhostGate     |  25.50±0.00 |   25498 |   74502 |  14336 |  1792 | 944588.4±4755.1 |   0.19± 0.00
REMARC-BloomGate     |  25.47±0.00 |   25474 |   74526 |  11648 |  1456 | 10776433.8±1030755.7 |   0.16± 0.00
REMARC-BloomMod      |  24.58±0.00 |   24577 |   75423 |  74400 |  9300 | 5158029.4±291299.1 |   0.99± 0.00
REMARC-FACT          |  24.64±0.00 |   24643 |   75357 |  74336 |  9292 | 6499832.6±48901.3 |   0.99± 0.00
REMARC-TIER          |  24.63±0.00 |   24628 |   75372 |  74368 |  9296 | 5306758.8±46634.8 |   0.99± 0.00
REMARC-Dual          |  21.51±2.88 |   21507 |   78493 | 155979 | 16686 | 3534578.5±152522.8 |   1.99± 0.00
REMARC-MS            |  24.63±0.00 |   24634 |   75366 |  74368 |  9296 | 4679705.3±36019.4 |   0.99± 0.00
REMARC-STEP          |  24.63±0.00 |   24630 |   75370 |  74368 |  9296 | 4666028.4±28434.6 |   0.99± 0.00
REMARC-STEPK         |  25.78±0.00 |   25779 |   74221 |  73221 | 2343072 | 931694.8±41222.1 |   0.99± 0.00
AUG-TS4              |  33.39±0.00 |   33386 |   66614 |  64614 |     0 | 3349176.8±255696.2 |   0.97± 0.00
AUG-PRED             |  33.40±0.00 |   33398 |   66602 |  64602 |     0 | 4003688.3±124283.7 |   0.97± 0.00
AUG-HEAP             |  29.42±0.00 |   29418 |   70582 |  68582 |     0 | 5920047.7±96560.7 |   0.97± 0.00
AUG-BOTHEND          |  29.20±0.00 |   29198 |   70802 |  68802 |     0 | 7074964.5±206029.3 |   0.97± 0.00
AUG-ADAPT            |  33.39±0.00 |   33386 |   66614 |  64614 |     0 | 3991846.1±313254.1 |   0.97± 0.00
QuotaFree            |  11.48±0.00 |   11478 |   88522 |  87522 |     0 | 5724785.5±119446.6 |   0.99± 0.00

--- Scan-Resistant (90% hot) ---
Policy               | Hit%(avg±sd) |    Hits |  Misses | Evicts |  Scan |  Ops/s(avg±sd) | Evict/M(avg±sd)
--------------------------------------------------------------------------------------------------------------
LRU                  |  73.36±0.00 |   73363 |   26637 |  25637 |     0 | 16173399.0±2145224.8 |   0.96± 0.00
ARC                  |  88.35±0.00 |   88346 |   11654 |   9654 |     0 | 9167298.4±662974.7 |   0.83± 0.00
ARC-FLAT             |  88.35±0.00 |   88346 |   11654 |   9654 |     0 | 4584573.6±94193.0 |   0.83± 0.00
ARC-FLATLL           |  88.35±0.00 |   88346 |   11654 |   9654 |     0 | 10597695.2±416711.5 |   0.83± 0.00
ARC-FLATLL2          |  88.35±0.00 |   88346 |   11654 |   9654 |     0 | 17888290.5±416401.7 |   0.83± 0.00
HYBRID               |  90.12±0.00 |   90117 |    9883 |   7883 |     0 | 3994988.4±49547.8 |   0.80± 0.00
HYBRID-POS           |  89.12±0.00 |   89117 |   10883 |   8883 |     0 | 2769840.0±28496.0 |   0.82± 0.00
HYBRID-FB            |  90.12±0.00 |   90117 |    9883 |   7883 |     0 | 2719670.2±9818.3 |   0.80± 0.00
REMARC               |  65.95±0.00 |   65950 |   34050 |  33056 |  1033 | 4658906.8±82740.0 |   0.97± 0.00
REMARC-OPT           |  65.52±0.00 |   65520 |   34480 |  33472 |  4184 | 13293999.3±528833.1 |   0.97± 0.00
REMARC-LazyInc       |  66.03±0.00 |   66035 |   33965 |  32960 |  8240 | 4261109.3±151837.1 |   0.97± 0.00
REMARC-S3            |  73.82±0.00 |   73824 |   26176 |  18208 |  2276 | 9943336.1±173619.2 |   0.70± 0.00
REMARC-LFU           |  65.52±0.00 |   65520 |   34480 |  33472 |  4184 | 15314279.8±221948.7 |   0.97± 0.00
REMARC-TinyLFU       |  65.01±0.00 |   65010 |   34990 |  33312 |  4164 | 13154701.5±461170.6 |   0.95± 0.00
REMARC-GhostField    |  65.52±0.00 |   65520 |   34480 |  33472 |  4184 | 5251073.1±98239.0 |   0.97± 0.00
REMARC-GhostGate     |  80.63±0.00 |   80631 |   19369 |   8576 |  1072 | 4530249.0±64971.4 |   0.44± 0.00
REMARC-BloomGate     |  84.86±0.00 |   84861 |   15139 |   2528 |   316 | 26119564.0±423721.3 |   0.17± 0.00
REMARC-BloomMod      |  65.60±0.00 |   65599 |   34401 |  33408 |  4176 | 10186241.0±99662.3 |   0.97± 0.00
REMARC-FACT          |  71.78±0.00 |   71779 |   28221 |  27200 |  3400 | 13544961.1±137166.2 |   0.96± 0.00
REMARC-TIER          |  66.25±0.00 |   66245 |   33755 |  32736 |  4092 | 9737456.1±15865.4 |   0.97± 0.00
REMARC-Dual          |  48.52±0.00 |   48519 |   51481 | 101952 | 12744 | 4503858.6±101921.6 |   1.98± 0.00
REMARC-MS            |  66.04±0.00 |   66043 |   33957 |  32960 |  4120 | 6957403.6±19408.8 |   0.97± 0.00
REMARC-STEP          |  67.57±0.00 |   67567 |   32433 |  31424 |  3928 | 6952411.6±83902.3 |   0.97± 0.00
REMARC-STEPK         |  81.69±0.00 |   81688 |   18312 |  17312 | 553984 | 3133988.9±206765.4 |   0.95± 0.00
AUG-TS4              |  89.60±0.00 |   89603 |   10397 |   8524 |     0 | 4009061.3±101508.3 |   0.82± 0.00
AUG-PRED             |  89.59±0.00 |   89593 |   10407 |   8536 |     0 | 7354401.6±249803.2 |   0.82± 0.00
AUG-HEAP             |  30.22±0.00 |   30222 |   69778 |  68055 |     0 | 6064449.5±79226.1 |   0.98± 0.00
AUG-BOTHEND          |  76.74±0.00 |   76743 |   23257 |  21409 |     0 | 8796628.4±392796.1 |   0.92± 0.00
AUG-ADAPT            |  89.60±0.00 |   89603 |   10397 |   8524 |     0 | 3970284.5±94700.5 |   0.82± 0.00
QuotaFree            |  15.39±0.00 |   15391 |   84609 |  83609 |     0 | 6160987.8±49542.0 |   0.99± 0.00

--- Temporal Shift (period=4) ---
Policy               | Hit%(avg±sd) |    Hits |  Misses | Evicts |  Scan |  Ops/s(avg±sd) | Evict/M(avg±sd)
--------------------------------------------------------------------------------------------------------------
LRU                  |  74.59±0.00 |   74589 |   25411 |  24411 |     0 | 21889129.7±2621383.1 |   0.96± 0.00
ARC                  |  74.73±0.00 |   74726 |   25274 |  23274 |     0 | 10167533.4±145625.9 |   0.92± 0.00
ARC-FLAT             |  74.73±0.00 |   74726 |   25274 |  23274 |     0 | 1726809.9±14871.3 |   0.92± 0.00
ARC-FLATLL           |  74.73±0.00 |   74726 |   25274 |  23274 |     0 | 12514654.8±1117150.5 |   0.92± 0.00
ARC-FLATLL2          |  74.73±0.00 |   74726 |   25274 |  23274 |     0 | 19495595.6±540877.3 |   0.92± 0.00
HYBRID               |  58.77±0.00 |   58767 |   41233 |  39233 |     0 | 622815.3±68373.7 |   0.95± 0.00
HYBRID-POS           |  74.74±0.00 |   74744 |   25256 |  23256 |     0 | 689715.9±18240.7 |   0.92± 0.00
HYBRID-FB            |  58.77±0.00 |   58767 |   41233 |  39233 |     0 | 635895.3±6265.8 |   0.95± 0.00
REMARC               |  53.36±0.00 |   53356 |   46644 |  45632 |  1426 | 4261883.8±270908.7 |   0.98± 0.00
REMARC-OPT           |  74.56±0.00 |   74557 |   25443 |  24448 |  3056 | 20966125.0±529862.5 |   0.96± 0.00
REMARC-LazyInc       |  53.15±0.00 |   53146 |   46854 |  45856 | 11464 | 4407317.2±137318.9 |   0.98± 0.00
REMARC-S3            |  64.73±0.00 |   64726 |   35274 |  24256 |  3032 | 11918876.3±385391.1 |   0.69± 0.00
REMARC-LFU           |  74.56±0.00 |   74557 |   25443 |  24448 |  3056 | 24328377.5±727230.6 |   0.96± 0.00
REMARC-TinyLFU       |  74.12±0.00 |   74123 |   25877 |  24224 |  3028 | 20869400.1±12600.1 |   0.94± 0.00
REMARC-GhostField    |  74.56±0.00 |   74557 |   25443 |  24448 |  3056 | 2775041.5±30075.1 |   0.96± 0.00
REMARC-GhostGate     |  49.45±0.00 |   49452 |   50548 |  24128 |  3016 | 1436751.1±4944.1 |   0.48± 0.00
REMARC-BloomGate     |  46.19±0.00 |   46188 |   53812 |  24128 |  3016 | 13432070.9±173237.3 |   0.45± 0.00
REMARC-BloomMod      |  73.83±0.00 |   73830 |   26170 |  25152 |  3144 | 14970367.4±503796.8 |   0.96± 0.00
REMARC-FACT          |  56.72±0.00 |   56716 |   43284 |  42272 |  5284 | 11963304.1±345594.6 |   0.98± 0.00
REMARC-TIER          |  74.56±0.00 |   74557 |   25443 |  24448 |  3056 | 15692228.5±218494.5 |   0.96± 0.00
REMARC-Dual          |  49.66±0.00 |   49658 |   50342 |  99712 | 12464 | 6305182.6±456171.6 |   1.98± 0.00
REMARC-MS            |  74.45±0.00 |   74448 |   25552 |  24544 |  3068 | 8478972.2±405547.9 |   0.96± 0.00
REMARC-STEP          |  74.42±0.00 |   74416 |   25584 |  24576 |  3072 | 8632193.5±104553.6 |   0.96± 0.00
REMARC-STEPK         |   9.49±0.00 |    9492 |   90508 |  89508 | 2864256 | 855845.2±8020.2 |   0.99± 0.00
AUG-TS4              |  75.14±0.00 |   75137 |   24863 |  22863 |     0 | 4535510.1±136399.6 |   0.92± 0.00
AUG-PRED             |  75.15±0.00 |   75151 |   24849 |  22849 |     0 | 7178217.4±240782.3 |   0.92± 0.00
AUG-HEAP             |  67.58±0.00 |   67581 |   32419 |  30419 |     0 | 6209029.9±64697.6 |   0.94± 0.00
AUG-BOTHEND          |  58.22±0.00 |   58219 |   41781 |  39781 |     0 | 9151233.8±344679.7 |   0.95± 0.00
AUG-ADAPT            |  75.14±0.00 |   75137 |   24863 |  22863 |     0 | 5770859.7±424190.5 |   0.92± 0.00
QuotaFree            |  50.63±0.00 |   50631 |   49369 |  48369 |     0 | 8155712.5±71741.3 |   0.98± 0.00

--- Looping (loop=2000) ---
Policy               | Hit%(avg±sd) |    Hits |  Misses | Evicts |  Scan |  Ops/s(avg±sd) | Evict/M(avg±sd)
--------------------------------------------------------------------------------------------------------------
LRU                  |   0.00±0.00 |       0 |  100000 |  99000 |     0 | 9122834.9±277965.0 |   0.99± 0.00
ARC                  |   0.00±0.00 |       0 |  100000 |  99000 |     0 | 5086922.8±169691.3 |   0.99± 0.00
ARC-FLAT             |   0.00±0.00 |       0 |  100000 |  99000 |     0 | 736101.8±10182.2 |   0.99± 0.00
ARC-FLATLL           |   0.00±0.00 |       0 |  100000 |  99000 |     0 | 6624776.1±322966.9 |   0.99± 0.00
ARC-FLATLL2          |   0.00±0.00 |       0 |  100000 |  99000 |     0 | 14876339.4±164572.2 |   0.99± 0.00
HYBRID               |  97.00±0.00 |   96999 |    3001 |   1001 |     0 | 18007332.0±1132170.0 |   0.33± 0.00
HYBRID-POS           |   5.13±0.00 |    5126 |   94874 |  93666 |     0 | 364831.2± 466.5 |   0.99± 0.00
HYBRID-FB            |  97.00±0.00 |   96999 |    3001 |   1001 |     0 | 5287734.4±65413.3 |   0.33± 0.00
REMARC               |  20.38±0.00 |   20384 |   79616 |  78592 |  2456 | 3810142.1±40733.9 |   0.99± 0.00
REMARC-OPT           |   0.00±0.00 |       0 |  100000 |  98976 | 12372 | 7194929.8±84949.8 |   0.99± 0.00
REMARC-LazyInc       |  22.69±0.00 |   22688 |   77312 |  76288 | 19072 | 4175186.6±78807.8 |   0.99± 0.00
REMARC-S3            |   0.00±0.00 |       0 |  100000 |  96992 | 12124 | 4799364.4±141393.1 |   0.97± 0.00
REMARC-LFU           |   0.00±0.00 |       0 |  100000 |  98976 | 12372 | 6429008.8±1249521.6 |   0.99± 0.00
REMARC-TinyLFU       |   0.00±0.00 |       0 |  100000 |  98336 | 12292 | 6984772.8±924923.0 |   0.98± 0.00
REMARC-GhostField    |   0.00±0.00 |       0 |  100000 |  98976 | 12372 | 6739832.2±641450.4 |   0.99± 0.00
REMARC-GhostGate     |   0.00±0.00 |       0 |  100000 |  96992 | 12124 | 7375630.6±120644.6 |   0.97± 0.00
REMARC-BloomGate     |  24.06±0.00 |   24057 |   75943 |  49280 |  6160 | 8710809.6±186763.0 |   0.65± 0.00
REMARC-BloomMod      |  27.46±0.00 |   27456 |   72544 |  71520 |  8940 | 6467414.6±79745.6 |   0.99± 0.00
REMARC-FACT          |   0.00±0.00 |       0 |  100000 |  98976 | 12372 | 6438201.8±183323.2 |   0.99± 0.00
REMARC-TIER          |   0.00±0.00 |       0 |  100000 |  98976 | 12372 | 5108384.9±43117.9 |   0.99± 0.00
REMARC-Dual          |   0.00±0.00 |       0 |  100000 | 198976 | 24872 | 3604462.0±49722.2 |   1.99± 0.00
REMARC-MS            |   0.00±0.00 |       0 |  100000 |  98976 | 12372 | 4398400.1±129423.0 |   0.99± 0.00
REMARC-STEP          |   0.00±0.00 |       0 |  100000 |  98976 | 12372 | 4450705.1±114431.8 |   0.99± 0.00
REMARC-STEPK         |  30.77±0.00 |   30772 |   69228 |  68228 | 2183296 | 1226725.5±51654.2 |   0.99± 0.00
AUG-TS4              |   0.00±0.00 |       0 |  100000 |  99000 |     0 | 3631843.8±195477.0 |   0.99± 0.00
AUG-PRED             |   0.00±0.00 |       0 |  100000 |  99000 |     0 | 3741589.8±67301.5 |   0.99± 0.00
AUG-HEAP             |  97.00±0.00 |   96996 |    3004 |   1004 |     0 | 4609355.8±103812.9 |   0.33± 0.00
AUG-BOTHEND          |   0.00±0.00 |       0 |  100000 |  99000 |     0 | 5951797.8±161423.1 |   0.99± 0.00
