workload,policy,hit_rate_mean,hit_rate_std,miss_rate_mean,miss_rate_std,hits_mean,hits_std,misses_mean,misses_std,evictions_mean,evictions_std,scans_mean,scans_std,throughput_ops_mean,throughput_ops_std,elapsed_ms_mean,elapsed_ms_std,evict_per_miss_mean,evict_per_miss_std,workload_score
"Zipfian (theta=0.99)",LRU,24.7720,0.0000,75.2280,0.0000,24772.0000,0.0000,75228.0000,0.0000,74228.0000,0.0000,0.0000,0.0000,10598402.9877,44964.8854,9.4356,0.0401,0.9867,0.0000,0.4972
"Zipfian (theta=0.99)",ARC,34.9640,0.0000,65.0360,0.0000,34964.0000,0.0000,65036.0000,0.0000,63036.0000,0.0000,0.0000,0.0000,5615221.3168,52631.1172,17.8103,0.1669,0.9692,0.0000,0.5125
"Zipfian (theta=0.99)",ARC-FLAT,34.9640,0.0000,65.0360,0.0000,34964.0000,0.0000,65036.0000,0.0000,63036.0000,0.0000,0.0000,0.0000,1049272.1435,7209.5560,95.3087,0.6554,0.9692,0.0000,0.4246
"Zipfian (theta=0.99)",ARC-FLATLL,34.9640,0.0000,65.0360,0.0000,34964.0000,0.0000,65036.0000,0.0000,63036.0000,0.0000,0.0000,0.0000,5775927.3580,300379.0438,17.3618,0.9346,0.9692,0.0000,0.5156
"Zipfian (theta=0.99)",ARC-FLATLL2,34.9640,0.0000,65.0360,0.0000,34964.0000,0.0000,65036.0000,0.0000,63036.0000,0.0000,0.0000,0.0000,10199870.5833,162351.5085,9.8065,0.1562,0.9692,0.0000,0.6008
"Zipfian (theta=0.99)",HYBRID,33.1510,0.0000,66.8490,0.0000,33151.0000,0.0000,66849.0000,0.0000,64849.0000,0.0000,0.0000,0.0000,657027.0243,7964.9753,152.2233,1.8609,0.9701,0.0000,0.3973
"Zipfian (theta=0.99)",HYBRID-POS,35.0350,0.0000,64.9650,0.0000,35035.0000,0.0000,64965.0000,0.0000,62965.0000,0.0000,0.0000,0.0000,472264.1574,107.6130,211.7459,0.0483,0.9692,0.0000,0.4143
"Zipfian (theta=0.99)",HYBRID-FB,33.1510,0.0000,66.8490,0.0000,33151.0000,0.0000,66849.0000,0.0000,64849.0000,0.0000,0.0000,0.0000,632843.7221,8450.4589,158.0453,2.1258,0.9701,0.0000,0.3969
"Zipfian (theta=0.99)",REMARC,24.7390,0.0000,75.2610,0.0000,24739.0000,0.0000,75261.0000,0.0000,74240.0000,0.0000,2320.0000,0.0000,4555834.0980,18678.0639,21.9502,0.0897,0.9864,0.0000,0.3805
"Zipfian (theta=0.99)",REMARC-OPT,24.6280,0.0000,75.3720,0.0000,24628.0000,0.0000,75372.0000,0.0000,74368.0000,0.0000,9296.0000,0.0000,8177588.3127,77903.2790,12.2297,0.1170,0.9867,0.0000,0.4490
"Zipfian (theta=0.99)",REMARC-LazyInc,24.7330,0.0000,75.2670,0.0000,24733.0000,0.0000,75267.0000,0.0000,74272.0000,0.0000,18568.0000,0.0000,4114662.3764,6488.8725,24.3034,0.0383,0.9868,0.0000,0.3719
"Zipfian (theta=0.99)",REMARC-S3,24.5480,0.0000,75.4520,0.0000,24548.0000,0.0000,75452.0000,0.0000,64448.0000,0.0000,8056.0000,0.0000,4773219.5795,36470.0807,20.9514,0.1607,0.8542,0.0000,0.3863
"Zipfian (theta=0.99)",REMARC-LFU,24.6280,0.0000,75.3720,0.0000,24628.0000,0.0000,75372.0000,0.0000,74368.0000,0.0000,9296.0000,0.0000,7818722.4935,27957.1107,12.7900,0.0456,0.9867,0.0000,0.4421
"Zipfian (theta=0.99)",REMARC-TinyLFU,24.5290,0.0000,75.4710,0.0000,24529.0000,0.0000,75471.0000,0.0000,73792.0000,0.0000,9224.0000,0.0000,7476569.1857,28867.8531,13.3753,0.0516,0.9778,0.0000,0.4346
"Zipfian (theta=0.99)",REMARC-GhostField,24.6280,0.0000,75.3720,0.0000,24628.0000,0.0000,75372.0000,0.0000,74368.0000,0.0000,9296.0000,0.0000,1056414.8212,14856.0843,94.6784,1.3236,0.9867,0.0000,0.3119
"Zipfian (theta=0.99)",REMARC-GhostGate,25.4980,0.0000,74.5020,0.0000,25498.0000,0.0000,74502.0000,0.0000,14336.0000,0.0000,1792.0000,0.0000,945261.9570,4294.9093,105.7930,0.4813,0.1924,0.0000,0.4173
"Zipfian (theta=0.99)",REMARC-BloomGate,25.4740,0.0000,74.5260,0.0000,25474.0000,0.0000,74526.0000,0.0000,11648.0000,0.0000,1456.0000,0.0000,11172718.9436,112214.2862,8.9513,0.0894,0.1563,0.0000,0.6421
"Zipfian (theta=0.99)",REMARC-BloomMod,24.5770,0.0000,75.4230,0.0000,24577.0000,0.0000,75423.0000,0.0000,74400.0000,0.0000,9300.0000,0.0000,5239374.8328,31664.6764,19.0869,0.1156,0.9864,0.0000,0.3919
"Zipfian (theta=0.99)",REMARC-FACT,24.6430,0.0000,75.3570,0.0000,24643.0000,0.0000,75357.0000,0.0000,74336.0000,0.0000,9292.0000,0.0000,6464218.1399,24693.5840,15.4700,0.0593,0.9865,0.0000,0.4162
"Zipfian (theta=0.99)",REMARC-TIER,24.6280,0.0000,75.3720,0.0000,24628.0000,0.0000,75372.0000,0.0000,74368.0000,0.0000,9296.0000,0.0000,5389015.8452,45973.5018,18.5576,0.1590,0.9867,0.0000,0.3953
"Zipfian (theta=0.99)",REMARC-Dual,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500
"Zipfian (theta=0.99)",REMARC-MS,24.6340,0.0000,75.3660,0.0000,24634.0000,0.0000,75366.0000,0.0000,74368.0000,0.0000,9296.0000,0.0000,4646494.6818,12664.3221,21.5218,0.0587,0.9868,0.0000,0.3811
"Zipfian (theta=0.99)",REMARC-STEP,24.6300,0.0000,75.3700,0.0000,24630.0000,0.0000,75370.0000,0.0000,74368.0000,0.0000,9296.0000,0.0000,5008698.0443,19278.0695,19.9656,0.0770,0.9867,0.0000,0.3880
"Zipfian (theta=0.99)",REMARC-STEPK,25.7790,0.0000,74.2210,0.0000,25779.0000,0.0000,74221.0000,0.0000,73221.0000,0.0000,2343072.0000,0.0000,970066.4999,2087.3534,103.0862,0.2217,0.9865,0.0000,0.3228
"Zipfian (theta=0.99)",AUG-TS4,33.3860,0.0000,66.6140,0.0000,33386.0000,0.0000,66614.0000,0.0000,64614.0000,0.0000,0.0000,0.0000,3607907.6657,37098.0747,27.7198,0.2830,0.9700,0.0000,0.4567
"Zipfian (theta=0.99)",AUG-PRED,33.3980,0.0000,66.6020,0.0000,33398.0000,0.0000,66602.0000,0.0000,64602.0000,0.0000,0.0000,0.0000,4516569.1996,84409.4995,22.1485,0.4195,0.9700,0.0000,0.4743
"Zipfian (theta=0.99)",AUG-HEAP,29.4180,0.0000,70.5820,0.0000,29418.0000,0.0000,70582.0000,0.0000,68582.0000,0.0000,0.0000,0.0000,5869524.4537,202132.1436,17.0579,0.6021,0.9717,0.0000,0.4570
"Zipfian (theta=0.99)",AUG-BOTHEND,29.1980,0.0000,70.8020,0.0000,29198.0000,0.0000,70802.0000,0.0000,68802.0000,0.0000,0.0000,0.0000,7003743.1007,151213.2788,14.2848,0.3096,0.9718,0.0000,0.4765
"Zipfian (theta=0.99)",AUG-ADAPT,33.3860,0.0000,66.6140,0.0000,33386.0000,0.0000,66614.0000,0.0000,64614.0000,0.0000,0.0000,0.0000,4429291.3560,360800.4948,22.7255,1.8262,0.9700,0.0000,0.4725
"Zipfian (theta=0.99)",AUG-ADAPT-FLAT,33.3860,0.0000,66.6140,0.0000,33386.0000,0.0000,66614.0000,0.0000,64614.0000,0.0000,0.0000,0.0000,3310230.9686,351330.0468,30.5643,3.3521,0.9700,0.0000,0.4510
"Zipfian (theta=0.99)",QuotaFree,11.4780,0.0000,88.5220,0.0000,11478.0000,0.0000,88522.0000,0.0000,87522.0000,0.0000,0.0000,0.0000,6026654.8767,26029.4604,16.5933,0.0715,0.9887,0.0000,0.2645
"Zipfian (theta=0.99)",REMARC-1L,24.7060,0.0000,75.2940,0.0000,24706.0000,0.0000,75294.0000,0.0000,74294.0000,0.0000,0.0000,0.0000,4420551.2679,24842.6978,22.6223,0.1271,0.9867,0.0000,0.3775
"Zipfian (theta=0.99)",REMARC-2L,24.6610,0.0000,75.3390,0.0000,24661.0000,0.0000,75339.0000,0.0000,74315.0000,0.0000,0.0000,0.0000,3513410.1615,63579.7023,28.4718,0.5216,0.9864,0.0000,0.3596
"Zipfian (theta=0.99)",REMARC-BLOOM,19.8090,0.0000,80.1910,0.0000,19809.0000,0.0000,80191.0000,0.0000,80000.0000,0.0000,0.0000,0.0000,12987791.8209,243886.3787,7.7023,0.1464,0.9976,0.0000,0.4889
"Zipfian (theta=0.99)",HISTATOM,20.3270,0.0000,79.6730,0.0000,20327.0000,0.0000,79673.0000,0.0000,78673.0000,0.0000,0.0000,0.0000,230066.9418,2114.0110,434.6928,3.9940,0.9874,0.0000,0.2492
"Zipfian (theta=0.99)",HISTATOM2,21.3970,0.0000,78.6030,0.0000,21397.0000,0.0000,78603.0000,0.0000,77493.0000,0.0000,0.0000,0.0000,174901.3075,1839.1308,571.8140,5.9880,0.9859,0.0000,0.2598
"Zipfian (theta=0.99)",HISTATOM3,24.6280,0.0000,75.3720,0.0000,24628.0000,0.0000,75372.0000,0.0000,74369.0000,0.0000,0.0000,0.0000,189746.3739,5402.1351,527.4418,14.8416,0.9867,0.0000,0.2952
"Zipfian (theta=0.99)",HISTATOM4,55.0790,0.0000,44.9210,0.0000,55079.0000,0.0000,44921.0000,0.0000,39771.0000,0.0000,0.0000,0.0000,32691.6895,660.5675,3060.1487,62.7203,0.8854,0.0000,0.6261
"Zipfian (theta=0.99)",HISTATOM5,55.1730,0.0000,44.8270,0.0000,55173.0000,0.0000,44827.0000,0.0000,39669.0000,0.0000,0.0000,0.0000,19914.5175,384.8043,5023.3606,98.2393,0.8849,0.0000,0.6269
"Scan-Resistant (90% hot)",LRU,73.3630,0.0000,26.6370,0.0000,73363.0000,0.0000,26637.0000,0.0000,25637.0000,0.0000,0.0000,0.0000,22501073.2557,409360.6030,4.4457,0.0813,0.9625,0.0000,0.7351
"Scan-Resistant (90% hot)",ARC,88.3460,0.0000,11.6540,0.0000,88346.0000,0.0000,11654.0000,0.0000,9654.0000,0.0000,0.0000,0.0000,11270739.9932,270688.9901,8.8777,0.2169,0.8284,0.0000,0.7290
"Scan-Resistant (90% hot)",ARC-FLAT,88.3460,0.0000,11.6540,0.0000,88346.0000,0.0000,11654.0000,0.0000,9654.0000,0.0000,0.0000,0.0000,5092971.6278,61596.3007,19.6378,0.2363,0.8284,0.0000,0.6684
"Scan-Resistant (90% hot)",ARC-FLATLL,88.3460,0.0000,11.6540,0.0000,88346.0000,0.0000,11654.0000,0.0000,9654.0000,0.0000,0.0000,0.0000,12422287.8444,411259.4628,8.0591,0.2731,0.8284,0.0000,0.7403
"Scan-Resistant (90% hot)",ARC-FLATLL2,88.3460,0.0000,11.6540,0.0000,88346.0000,0.0000,11654.0000,0.0000,9654.0000,0.0000,0.0000,0.0000,20030381.9107,261640.1639,4.9933,0.0647,0.8284,0.0000,0.8149
"Scan-Resistant (90% hot)",HYBRID,90.1170,0.0000,9.8830,0.0000,90117.0000,0.0000,9883.0000,0.0000,7883.0000,0.0000,0.0000,0.0000,4050291.1859,147636.3897,24.7233,0.9241,0.7976,0.0000,0.6711
"Scan-Resistant (90% hot)",HYBRID-POS,89.1170,0.0000,10.8830,0.0000,89117.0000,0.0000,10883.0000,0.0000,8883.0000,0.0000,0.0000,0.0000,2942236.8239,29997.6734,33.9913,0.3457,0.8162,0.0000,0.6529
"Scan-Resistant (90% hot)",HYBRID-FB,90.1170,0.0000,9.8830,0.0000,90117.0000,0.0000,9883.0000,0.0000,7883.0000,0.0000,0.0000,0.0000,2816537.7552,31742.2152,35.5091,0.4030,0.7976,0.0000,0.6590
"Scan-Resistant (90% hot)",REMARC,65.9500,0.0000,34.0500,0.0000,65950.0000,0.0000,34050.0000,0.0000,33056.0000,0.0000,1033.0000,0.0000,6132898.5049,71203.6224,16.3077,0.1907,0.9708,0.0000,0.5250
"Scan-Resistant (90% hot)",REMARC-OPT,65.5200,0.0000,34.4800,0.0000,65520.0000,0.0000,34480.0000,0.0000,33472.0000,0.0000,4184.0000,0.0000,16213575.1818,222035.7063,6.1688,0.0849,0.9708,0.0000,0.6210
"Scan-Resistant (90% hot)",REMARC-LazyInc,66.0350,0.0000,33.9650,0.0000,66035.0000,0.0000,33965.0000,0.0000,32960.0000,0.0000,8240.0000,0.0000,4510346.7785,3332.7666,22.1713,0.0164,0.9704,0.0000,0.5097
"Scan-Resistant (90% hot)",REMARC-S3,73.8240,0.0000,26.1760,0.0000,73824.0000,0.0000,26176.0000,0.0000,18208.0000,0.0000,2276.0000,0.0000,13493042.5145,52981.4873,7.4113,0.0291,0.6956,0.0000,0.6598
"Scan-Resistant (90% hot)",REMARC-LFU,65.5200,0.0000,34.4800,0.0000,65520.0000,0.0000,34480.0000,0.0000,33472.0000,0.0000,4184.0000,0.0000,15389225.6961,37810.2281,6.4981,0.0160,0.9708,0.0000,0.6129
"Scan-Resistant (90% hot)",REMARC-TinyLFU,65.0100,0.0000,34.9900,0.0000,65010.0000,0.0000,34990.0000,0.0000,33312.0000,0.0000,4164.0000,0.0000,13747167.3511,65155.9489,7.2744,0.0344,0.9520,0.0000,0.5939
"Scan-Resistant (90% hot)",REMARC-GhostField,65.5200,0.0000,34.4800,0.0000,65520.0000,0.0000,34480.0000,0.0000,33472.0000,0.0000,4184.0000,0.0000,5391273.4243,79730.6656,18.5526,0.2773,0.9708,0.0000,0.5149
"Scan-Resistant (90% hot)",REMARC-GhostGate,80.6310,0.0000,19.3690,0.0000,80631.0000,0.0000,19369.0000,0.0000,8576.0000,0.0000,1072.0000,0.0000,4447365.8123,134656.0222,22.5061,0.6902,0.4428,0.0000,0.6370
"Scan-Resistant (90% hot)",REMARC-BloomGate,84.8610,0.0000,15.1390,0.0000,84861.0000,0.0000,15139.0000,0.0000,2528.0000,0.0000,316.0000,0.0000,25494990.1797,317806.4974,3.9230,0.0492,0.1670,0.0000,0.9650
"Scan-Resistant (90% hot)",REMARC-BloomMod,65.5990,0.0000,34.4010,0.0000,65599.0000,0.0000,34401.0000,0.0000,33408.0000,0.0000,4176.0000,0.0000,9775469.3772,249357.2550,10.2364,0.2630,0.9711,0.0000,0.5584
"Scan-Resistant (90% hot)",REMARC-FACT,71.7790,0.0000,28.2210,0.0000,71779.0000,0.0000,28221.0000,0.0000,27200.0000,0.0000,3400.0000,0.0000,13859121.5989,77877.1221,7.2157,0.0406,0.9638,0.0000,0.6398
"Scan-Resistant (90% hot)",REMARC-TIER,66.2450,0.0000,33.7550,0.0000,66245.0000,0.0000,33755.0000,0.0000,32736.0000,0.0000,4092.0000,0.0000,9745118.8143,30462.9378,10.2616,0.0321,0.9698,0.0000,0.5624
